CMTE_ID,CAND_NAME,CAND_PTY_AFFILIATION,CMTE_NM,CMTE_PTY_AFFILIATION,NAME,CITY,STATE,ZIP_CODE,TRANSACTION_AMT,TRANSACTION_DT,PURPOSE,CATEGORY_DESC,ENTITY_TP
C00193433,,,EMILY'S LIST,,UBER,SAN FRANCISCO,CA,94103,5,2015-05-21,TRAVEL/ACCOMMODATION /MEALS,,ORG
C00549782,,,MASSACHUSETTS VICTORY COMMITTEE,,GOVERNMENT CENTER GARAGE,BOSTON,MA,02114,35,2015-04-16,VASQUEZ REIMBURSEMENT: PARKING SERVICES,,ORG
C00000935,,,DEMOCRATIC CONGRESSIONAL CAMPAIGN COMMITTEE,DEM,"BAY VIEW FUNDING EASTERN HARBOR MEDIA, LLC",DALLAS,TX,75320,1500,2015-03-19,GENERIC CMTE. LIST RENTAL,,ORG
C00571372,,,RIGHT TO RISE USA,,"HURLEY, JOHN K.",SAN FRANCISCO,CA,941114005,779.68,2015-01-13,IN-KIND: CATERING,,IND
C00310532,"GRANGER, KAY",REP,KAY GRANGER CAMPAIGN FUND,REP,"FW RIVER PLAZA, LP",FORT WORTH,TX,76107,1866.52,2015-05-01,RENT,,ORG
C00193433,,,EMILY'S LIST,,BRASSERIE RUHLMANN,NEW YORK,NY,10111,36.67,2015-05-21,TRAVEL/ACCOMMODATION /MEALS,,ORG
C00310318,"CUMMINGS, ELIJAH E",DEM,CUMMINGS FOR CONGRESS CAMPAIGN COMMITTEE,DEM,SHEARTON SOCIETY HILL,,PA,19106,1400,2015-02-12,LODGING,,ORG
C00089243,,,MASSACHUSETTS DEMOCRATIC STATE COMMITTEE - FED FUND,DEM,ACTBLUE,CAMBRIDGE,MA,021385106,11.53,2015-02-06,FEES EXPENSE,,ORG
C00304709,"SMITH, D ADAM",DEM,ADAM SMITH FOR CONGRESS COMMITTEE,DEM,ADP,AUGUSTA,GA,309099373,51.7,2015-05-08,PAYROLL PROCESSING FEE,,ORG
C00493825,"MURPHY, PATRICK E",DEM,FRIENDS OF PATRICK MURPHY,DEM,AMAZON.COM,SEATTLE,WA,981013518,41.99,2015-06-09,OFFICE SUPPLIES,,
C00573212,"STRICKLAND, TED",DEM,STRICKLAND FOR SENATE,DEM,AT&T MOBILITY,CAROL STREAM,IL,601976416,121.66,2015-04-08,TELEPHONE SERVICE,,
C00010603,,,DNC SERVICES CORPORATION/DEMOCRATIC NATIONAL COMMITTEE,DEM,VONAGE AMERICA,HOLMDEL,NJ,07733,94.73,2015-04-21,CELLULAR / MOBILE,,ORG
C00462861,"KUSTER, ANN MCLANE",DEM,"KUSTER FOR CONGRESS, INC.",DEM,ACTBLUE TECHNICAL SERVICES,CAMBRIDGE,MA,021385106,1024.4,2015-03-31,CREDIT CARD PROCESSING FEE,,ORG
C00575795,"CLINTON, HILLARY RODHAM",DEM,HILLARY FOR AMERICA,DEM,"KNOBLOCK, ANNA TALBOT",NEW YORK,NY,101855256,1215.33,2015-04-30,PAYROLL,,IND
C00466482,"LANKFORD, JAMES PAUL",REP,FAMILIES FOR JAMES LANKFORD,REP,MADISON STRATEGIES LLC,FLOWERY BRANCH,GA,30542,2000,2015-04-24,STRATEGY ADVISOR CONSULTING FEE,Administrative/Salary/Overhead Expenses,
C00575050,"LAHOOD, DARIN MCKAY",REP,LAHOOD FOR CONGRESS,REP,"SADER, SHEILA",DUNLAP,IL,615259631,1000,2015-05-02,CAMPAIGN STAFF,,IND
C00435974,"HARRIS, ANDREW P",REP,ANDY HARRIS FOR CONGRESS,REP,SILVER SPRINGS MINING CO.,COCKEYSVILLE,MD,210302053,869.95,2015-03-23,EVENT CATERING,Administrative/Salary/Overhead Expenses,ORG
C00312017,"KIND, RONALD JAMES",DEM,KIND FOR CONGRESS COMMITTEE,DEM,WELLS FARGO BANK,LA CROSSE,WI,546014050,6875.41,2015-04-22,CREDIT CARD PAYMENT,,ORG
C00000935,,,DEMOCRATIC CONGRESSIONAL CAMPAIGN COMMITTEE,DEM,BANK OF AMERICA,PHOENIX,AZ,850723155,543.79,2015-02-23,GENERIC CMTE. EVENTS/MEETINGS,,ORG
C00521948,"DAVIS, RODNEY L",REP,RODNEY FOR CONGRESS,REP,UNITED STATES TREASURY,CINCINNATI,OH,459990001,105,2015-01-30,2014 FUTA TAX,Administrative/Salary/Overhead Expenses,ORG
C00010439,,,IDAHO STATE DEMOCRATIC PARTY,DEM,"ACTBLUE/AUBURN QUAD, INC.",CAMBRIDGE,MA,021390008,17.25,2015-04-30,SERVICE FEES,,ORG
