TRANSACTION_AMT,TRANSACTION_DT
65837,2015-03-16
359.42,2015-03-10
7.68,2015-03-30
21.39,2015-04-13
374.8,2015-05-26
122.5,2015-05-14
548.1,2015-04-17
100,2015-04-03
3445.6,2015-02-11
14700.12,2015-06-30
2862.13,2015-06-30
543.89,2015-05-30
579,2015-01-05
784,2015-06-24
15,2015-06-01
121.18,2015-05-13
2038.41,2015-06-30
2133.68,2015-04-29
1500,2015-04-08
192.49,2015-03-06
560.2,2015-01-25
4839.03,2015-05-28
4196.02,2015-03-30
430.16,2015-01-29
83.15,2015-05-06
217.21,2015-06-04
1560.52,2015-06-30
1203.53,2015-04-15
1522.47,2015-02-13
223.39,2015-01-08
78,2015-04-06
454.58,2015-01-29
2124.14,2015-03-24
629.66,2015-04-01
49,2015-05-02
6325,2015-05-04
38.34,2015-06-30
750,2015-04-17
63.54,2015-06-30
1132.21,2015-02-27
927.03,2015-05-15
1825.27,2015-03-02
1535,2015-02-25
45.45,2015-05-05
367.3,2015-04-13
334.6,2015-04-22
100,2015-04-25
85.01,2015-06-11
115.06,2015-06-05
224.25,2015-01-15
1000,2015-04-08
29,2015-04-16
76.68,2015-06-05
39,2015-03-08
29,2015-05-22
107.92,2015-06-01
2580.44,2015-04-21
2561.93,2015-02-13
62175,2015-03-02
520.64,2015-01-09
32.76,2015-01-12
220,2015-05-05
208.33,2015-04-15
207.18,2015-05-20
3000,2015-05-06
150,2015-02-21
80,2015-02-24
1204.9,2015-02-27
50,2015-01-04
360.87,2015-02-18
19.95,2015-04-06
129.42,2015-02-23
600,2015-04-07
697.61,2015-04-30
239.37,2015-05-14
3361.1,2015-01-23
85.44,2015-06-29
6056.47,2015-05-15
21.21,2015-05-11
236.91,2015-01-05
10000,2015-05-12
102.51,2015-06-14
2.24,2015-04-30
1503.71,2015-04-15
10.49,2015-05-06
679.94,2015-06-30
10,2015-06-06
299.5,2015-03-05
28,2015-04-09
1178.75,2015-05-01
126.69,2015-04-01
5,2015-04-24
150,2015-05-28
1337.07,2015-06-30
159.64,2015-04-01
38,2015-02-09
114.47,2015-05-01
0.02,2015-05-08
317.07,2015-06-03
49.25,2015-04-06
3485.18,2015-04-24
196.91,2015-02-04
236.11,2015-05-28
350,2015-02-26
20,2015-04-24
89.37,2015-05-01
2000,2015-04-01
30,2015-02-27
39.15,2015-06-30
298.94,2015-05-04
84.85,2015-04-24
164.85,2015-06-03
933.23,2015-03-09
0.59,2015-05-28
483.05,2015-02-13
5334.7,2015-06-19
18.82,2015-06-23
18.3,2015-06-29
714.6,2015-02-11
730.52,2015-03-18
2263.43,2015-02-03
56.83,2015-01-16
22,2015-03-07
2506.7,2015-01-02
35.61,2015-02-27
736.1,2015-01-26
-233.42,2015-03-09
55.97,2015-03-16
568.28,2015-03-30
175.95,2015-05-21
3189.81,2015-05-29
100,2015-04-09
131.97,2015-01-08
399.1,2015-01-02
1458.67,2015-03-31
3250,2015-05-12
860.87,2015-02-18
131.81,2015-03-09
2295.87,2015-01-14
450,2015-02-11
1106.43,2015-05-05
104.31,2015-04-23
100.8,2015-01-19
